title,company_name,need_level,need_grade,region,employ_type,rank,pay,section
캐롯손해보험㈜,부문별 경력직 대규모 채용,경력1년↑,학력무관,정규직,,,,DE
우리에프아이에스㈜,2024년 경력사원 채용 공고,경력3년↑,학력무관,마포구,정규직,,,DE
㈜바이오컴,[AI 헬스케어] 개발/기획/마케팅/회계/변호사 인재영입,경력3년↑,학력무관,강서구,정규직,,,DE
한국유미코아배터리머티리얼즈 유한책임회사,한국유미코아 배터리머티리얼즈 하반기 각 부문별 채용,신입·경력,대졸↑,전지역,정규직,,,DE
㈜팬코,각 부문별 신입 및 경력사원 채용,신입·경력,학력무관,성동구,정규직,,,DE
㈜연합인포맥스,연합인포맥스 금융공학연구소 신입/경력 사원 모집,신입·경력,학력무관,종로구,정규직,,,DE
에스케이엠앤서비스㈜,DBA 담당 경력 구성원 영입,경력2년↑,대졸↑,중구,정규직,,,DE
잡코리아(유),[잡코리아] 데이터 엔지니어 (3년 이상),경력3년↑,학력무관,서초구,정규직,,,DE
㈜헥토이노베이션,"헥토이노베이션 직군별 채용 (서비스기획,정보보안,영업,영업지원,광고기획,서비스개발,개발,UI/UX,MD)",경력,학력무관,강남구,정규직,,,DE
주식회사 빗썸,2024 빗썸 전직군 채용,경력무관,학력무관,강남구,정규직,,,DE
(주)우아한형제들,각 부문별 경력/신입 인재영입,신입·경력,학력무관,송파구,정규직,,,DE
더리본㈜,더리본㈜ 각 부문 경력 채용(인사총무팀/고객관리업무/여행팀),경력5년↑,초대졸↑,성동구,정규직,,,DE
㈜위앤유텍,빅데이터 솔루션 (Elastic) 엔지니어,경력무관,학력무관,송파구,정규직,,,DE
㈜이노케어플러스,데이터 엔지니어,경력3년↑,학력무관,서초구,정규직,,"4,000~8,000만원",DE
루덴시티㈜,[경력] Data Engineer,경력3년↑,초대졸↑,강남구,정규직,,,DE
콜로세움코퍼레이션,[Engineering] 데이터 분석가,경력3년↑,대졸↑,강남구,정규직,,,DE
루덴시티㈜,[신입] Data Engineer,신입,초대졸↑,강남구,정규직,,,DE
㈜엑심베이,Data Engineer(신입/경력),경력,학력무관,구로구,정규직,,,DE
빅웨이브로보틱스㈜,Data Platform Engineer,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜메타넷티플랫폼,Data Engineer/DBA 경력,경력5년↑,초대졸↑,강남구,정규직,,,DE
메디웨일,데이터 엔지니어,경력5년↑,학력무관,강남구,정규직,,,DE
㈜레디포,플랜트 시뮬레이션 tool 사용 개발자,경력1년↑,학력무관,강서구,정규직,,"6,000~10,000만원",DE
주식회사 더 스윙,데이터 애널리틱 엔지니어,경력3년↑,학력무관,용산구,정규직,,,DE
㈜비스텔리젼스,IoT Specialist,경력5년↑,초대졸↑,서초구,정규직,,,DE
필라넷,AI엔지니어,경력3년↑,대졸↑,강남구,정규직,,,DE
㈜세종교육,"[IT취업률100프로]무료 취준생모집(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비",신입·경력,학력무관,강남구,연수생/교육생,,,DE
엠비씨(MBC)아카데미 컴퓨터교육센터,"[서울/경기] 수강료 0원 무료 취업교육생 과정모집(인공지능AI,빅데이터,풀스택,웹디자인,게임,메타버스)",신입·경력,고졸↑,관악구,연수생/교육생,,,DE
휴먼교육센터,[국비무료/기숙사무료] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),신입·경력,학력무관,영등포구,연수생/교육생,,,DE
대한상공회의소 서울기술교육센터,"반도체설계/검증 엔지니어, AI시스템반도체 SW개발자 교육생 모집",경력무관,초대졸↑,강서구,연수생/교육생,,,DE
kt ds University,풀스택 웹 애플리케이션 개발 전문가 양성과정,경력무관,초대졸↑,서초구,연수생/교육생,,,DE
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준,신입·경력,고졸↑,연수생/교육생,,,,DE
㈜미래엔,데이터 엔지니어 채용,경력,서초구,정규직,,,,DE
㈜빅밸류,[빅밸류] Data Architect 모집,경력무관,학력무관,중구,정규직,사원급,,DE
㈜팬코,IT 프로그램 개발/관리 경력사원 채용,경력2년↑,학력무관,성동구,정규직,,,DE
